Instance,Algorithm,Params,Seed,BestCost,Evaluations,ElapsedMs,BestFoundAt,Timestamp
tai_20_5_0,Evolutionary_p10_g10_s0,EvolutionaryParameters,0,16362,110,12.8165,59,2026-03-19T12:05:11.1287872+00:00
tai_20_5_0,Evolutionary_p10_g20_s0,EvolutionaryParameters,0,16076,210,4.2692,79,2026-03-19T12:05:11.1389776+00:00
tai_20_5_0,Evolutionary_p10_g40_s0,EvolutionaryParameters,0,16194,410,2.6138,401,2026-03-19T12:05:11.1435075+00:00
tai_20_5_0,Evolutionary_p10_g60_s0,EvolutionaryParameters,0,15612,610,2.7717,582,2026-03-19T12:05:11.1478165+00:00
tai_20_5_0,Evolutionary_p10_g80_s0,EvolutionaryParameters,0,15028,810,4.5013,761,2026-03-19T12:05:11.1537373+00:00
tai_20_5_0,Evolutionary_p10_g100_s0,EvolutionaryParameters,0,15009,1010,7.9899,855,2026-03-19T12:05:11.1633102+00:00
tai_20_5_0,Evolutionary_p10_g120_s0,EvolutionaryParameters,0,14854,1210,7.8572,1164,2026-03-19T12:05:11.1728220+00:00
tai_20_5_0,Evolutionary_p10_g160_s0,EvolutionaryParameters,0,14565,1610,11.0773,1570,2026-03-19T12:05:11.1855126+00:00
tai_20_5_0,Evolutionary_p20_g10_s0,EvolutionaryParameters,0,15421,220,2.3367,168,2026-03-19T12:05:11.1894800+00:00
tai_20_5_0,Evolutionary_p20_g20_s0,EvolutionaryParameters,0,15484,420,14.2666,415,2026-03-19T12:05:11.2054617+00:00
tai_20_5_0,Evolutionary_p20_g40_s0,EvolutionaryParameters,0,15424,820,5.243,686,2026-03-19T12:05:11.2128523+00:00
tai_20_5_0,Evolutionary_p20_g60_s0,EvolutionaryParameters,0,15263,1220,10.3832,801,2026-03-19T12:05:11.2251327+00:00
tai_20_5_0,Evolutionary_p20_g80_s0,EvolutionaryParameters,0,14681,1620,9.0248,1424,2026-03-19T12:05:11.2367225+00:00
tai_20_5_0,Evolutionary_p20_g100_s0,EvolutionaryParameters,0,14801,2020,12.2985,1847,2026-03-19T12:05:11.2570522+00:00
tai_20_5_0,Evolutionary_p20_g120_s0,EvolutionaryParameters,0,15097,2420,21.1123,2322,2026-03-19T12:05:11.2808169+00:00
tai_20_5_0,Evolutionary_p20_g160_s0,EvolutionaryParameters,0,14658,3220,22.9473,2814,2026-03-19T12:05:11.3077247+00:00
