Instance,Algorithm,Params,Seed,BestCost,Evaluations,ElapsedMs,BestFoundAt,Timestamp
tai_20_5_0,Evolutionary_p30_g120_s0,EvolutionaryParameters,0,14728,3630,22.0252,3400,2026-03-19T12:06:17.3401553+00:00
tai_20_5_0,Evolutionary_p30_g130_s0,EvolutionaryParameters,0,14431,3930,19.0635,2550,2026-03-19T12:06:17.3600956+00:00
tai_20_5_0,Evolutionary_p30_g140_s0,EvolutionaryParameters,0,14564,4230,22.4809,4230,2026-03-19T12:06:17.3836255+00:00
tai_20_5_0,Evolutionary_p30_g150_s0,EvolutionaryParameters,0,14558,4530,20.3633,4423,2026-03-19T12:06:17.4121361+00:00
tai_20_5_0,Evolutionary_p30_g160_s0,EvolutionaryParameters,0,14434,4830,17.4785,4224,2026-03-19T12:06:17.4311796+00:00
tai_20_5_0,Evolutionary_p40_g10_s0,EvolutionaryParameters,0,15227,440,1.9983,432,2026-03-19T12:06:17.4339364+00:00
tai_20_5_0,Evolutionary_p40_g20_s0,EvolutionaryParameters,0,14740,840,4.0319,813,2026-03-19T12:06:17.4386716+00:00
tai_20_5_0,Evolutionary_p40_g30_s0,EvolutionaryParameters,0,14825,1240,6.465,1228,2026-03-19T12:06:17.4458860+00:00
tai_20_5_0,Evolutionary_p40_g40_s0,EvolutionaryParameters,0,15023,1640,11.146,1515,2026-03-19T12:06:17.4583036+00:00
tai_20_5_0,Evolutionary_p40_g50_s0,EvolutionaryParameters,0,14394,2040,8.4532,2001,2026-03-19T12:06:17.4674198+00:00
tai_20_5_0,Evolutionary_p40_g60_s0,EvolutionaryParameters,0,14794,2440,14.4635,2318,2026-03-19T12:06:17.4827030+00:00
tai_20_5_0,Evolutionary_p40_g70_s0,EvolutionaryParameters,0,14923,2840,14.2325,2538,2026-03-19T12:06:17.4977115+00:00
tai_20_5_0,Evolutionary_p40_g80_s0,EvolutionaryParameters,0,14472,3240,9.6795,3160,2026-03-19T12:06:17.5079237+00:00
tai_20_5_0,Evolutionary_p40_g90_s0,EvolutionaryParameters,0,14362,3640,12.2327,2890,2026-03-19T12:06:17.5207439+00:00
tai_20_5_0,Evolutionary_p40_g100_s0,EvolutionaryParameters,0,14806,4040,13.223,1352,2026-03-19T12:06:17.5344862+00:00
tai_20_5_0,Evolutionary_p40_g110_s0,EvolutionaryParameters,0,14359,4440,11.7617,2772,2026-03-19T12:06:17.5470734+00:00
tai_20_5_0,Evolutionary_p40_g120_s0,EvolutionaryParameters,0,14488,4840,15.3546,4669,2026-03-19T12:06:17.5631559+00:00
tai_20_5_0,Evolutionary_p40_g130_s0,EvolutionaryParameters,0,14359,5240,29.8574,4978,2026-03-19T12:06:17.8019542+00:00
tai_20_5_0,Evolutionary_p40_g140_s0,EvolutionaryParameters,0,14682,5640,25.3416,5168,2026-03-19T12:06:17.8312299+00:00
tai_20_5_0,Evolutionary_p40_g150_s0,EvolutionaryParameters,0,14241,6040,24.1944,5750,2026-03-19T12:06:17.8561233+00:00
tai_20_5_0,Evolutionary_p40_g160_s0,EvolutionaryParameters,0,14375,6440,20.8554,5247,2026-03-19T12:06:17.8780061+00:00
tai_20_5_0,Evolutionary_p50_g10_s0,EvolutionaryParameters,0,15310,550,1.7003,539,2026-03-19T12:06:17.8805667+00:00
tai_20_5_0,Evolutionary_p50_g20_s0,EvolutionaryParameters,0,15147,1050,2.7386,1040,2026-03-19T12:06:17.8838812+00:00
tai_20_5_0,Evolutionary_p50_g30_s0,EvolutionaryParameters,0,14661,1550,6.8338,1478,2026-03-19T12:06:17.8911942+00:00
tai_20_5_0,Evolutionary_p50_g40_s0,EvolutionaryParameters,0,15076,2050,5.2353,1992,2026-03-19T12:06:17.8969516+00:00
tai_20_5_0,Evolutionary_p50_g50_s0,EvolutionaryParameters,0,14820,2550,6.0418,2538,2026-03-19T12:06:17.9034651+00:00
tai_20_5_0,Evolutionary_p50_g60_s0,EvolutionaryParameters,0,14521,3050,10.3942,2834,2026-03-19T12:06:17.9143921+00:00
tai_20_5_0,Evolutionary_p50_g70_s0,EvolutionaryParameters,0,14399,3550,8.1881,3312,2026-03-19T12:06:17.9230901+00:00
tai_20_5_0,Evolutionary_p50_g80_s0,EvolutionaryParameters,0,14913,4050,12.0676,2778,2026-03-19T12:06:17.9356021+00:00
tai_20_5_0,Evolutionary_p50_g90_s0,EvolutionaryParameters,0,14427,4550,10.7926,3175,2026-03-19T12:06:17.9469298+00:00
tai_20_5_0,Evolutionary_p50_g100_s0,EvolutionaryParameters,0,14456,5050,19.0625,4425,2026-03-19T12:06:17.9667030+00:00
tai_20_5_0,Evolutionary_p50_g110_s0,EvolutionaryParameters,0,14478,5550,20.5669,4309,2026-03-19T12:06:17.9879816+00:00
tai_20_5_0,Evolutionary_p50_g120_s0,EvolutionaryParameters,0,14528,6050,20.3913,4772,2026-03-19T12:06:18.0093670+00:00
tai_20_5_0,Evolutionary_p50_g130_s0,EvolutionaryParameters,0,14510,6550,25.8546,5821,2026-03-19T12:06:18.0362661+00:00
tai_20_5_0,Evolutionary_p50_g140_s0,EvolutionaryParameters,0,14465,7050,20.6853,3880,2026-03-19T12:06:18.0575100+00:00
tai_20_5_0,Evolutionary_p50_g150_s0,EvolutionaryParameters,0,14266,7550,22.6718,3807,2026-03-19T12:06:18.0808340+00:00
tai_20_5_0,Evolutionary_p50_g160_s0,EvolutionaryParameters,0,14345,8050,21.1086,6684,2026-03-19T12:06:18.1025569+00:00
tai_20_5_0,Evolutionary_p60_g10_s0,EvolutionaryParameters,0,15156,660,2.6095,630,2026-03-19T12:06:18.1060159+00:00
tai_20_5_0,Evolutionary_p60_g20_s0,EvolutionaryParameters,0,15009,1260,3.8706,1081,2026-03-19T12:06:18.1111137+00:00
tai_20_5_0,Evolutionary_p60_g30_s0,EvolutionaryParameters,0,14610,1860,7.2118,1807,2026-03-19T12:06:18.1190710+00:00
tai_20_5_0,Evolutionary_p60_g40_s0,EvolutionaryParameters,0,14639,2460,127.4958,2073,2026-03-19T12:06:18.2474598+00:00
tai_20_5_0,Evolutionary_p60_g50_s0,EvolutionaryParameters,0,14403,3060,80.1023,2883,2026-03-19T12:06:18.3396558+00:00
tai_20_5_0,Evolutionary_p60_g60_s0,EvolutionaryParameters,0,14758,3660,254.3653,2174,2026-03-19T12:06:18.6080818+00:00
tai_20_5_0,Evolutionary_p60_g70_s0,EvolutionaryParameters,0,14478,4260,61.7811,3996,2026-03-19T12:06:18.6737279+00:00
